tazid,tothh,resacre,ciacre,totemp,cbd
665,0,0,0,1,0
666,0,0,15.98516366,94,0
667,0,0,13.784867136,23,0
668,0,0,218.547008625,5333,0
669,0,0,452.332260371,12554,0
670,0,0,0,0,0
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,0,0,0,0,0
675,0,0,21.028941,309,0
676,0,0,14.518344195,284,0
677,0,0,15.910874379000001,199,0
678,0,0,43.556919924,767,0
679,0,0,0,0,0
680,0,0,90.814212064,131,0
681,1,0.749015571,52.474660179000004,230,0
682,0,0,0,0,0
683,1,160.5579413,0,0,0
684,9,67.170483162,80.049752908,102,0
685,1,0.922043999,60.357736017,319,0
686,0,0,0.126134359,120,0
687,0,0,608.1519224,172,0
688,0,0,0,0,0
689,0,0,0,0,0
690,0,0,0,0,0
691,2,0.957624334,1.969742331,71,0
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,399,74.560382052,12.48407613,341,0
696,1320,175.902359759,8.519724741000001,871,0
697,880,193.955121879,0.67756554,206,0
698,725,144.16919668,4.555124305,327,0
699,274,45.202565524,43.830644674,117,0
700,5,22.888913314,9.167878183,3,0
701,368,99.026837531,0.884317743,84,0
702,251,85.136340279,8.304035198,290,0
703,596,180.009210528,0,59,0
704,755,108.967145518,6.27819869,786,0
705,963,241.372255674,4.41652685,252,0
706,54,23.3942202218,37.46810449,887,0
