TAZID,CO_FIPS,xcoord,ycoord
1921,49,-111.864005971462,40.2732388492056
1918,49,-111.862763090729,40.2597848230225
1922,49,-111.871957343209,40.2732662476964
1923,49,-111.883398475677,40.2745847451026
1924,49,-111.87064560638,40.2850124010791
1925,49,-111.877220791527,40.2820841115683
1926,49,-111.886523875379,40.2828250800501
1927,49,-111.897596707488,40.2708546215707
1928,49,-111.884215091455,40.2893885115274
1929,49,-111.879504659413,40.2976538232351
1932,49,-111.893829511504,40.3052430032643
1934,49,-111.901533208278,40.3088510090954
1937,49,-111.912487113836,40.3194791098803
1939,49,-111.902150107357,40.3276383804589
1940,49,-111.914557453529,40.3319506825778
1938,49,-111.90303783911,40.3186597776573
1941,49,-111.919628567467,40.3298783880064
1942,49,-111.929531790489,40.3223219854305
1945,49,-111.940369932355,40.3437338254192
1943,49,-111.937607242103,40.3326238510444
1944,49,-111.954511384281,40.3349233939315
1946,49,-111.954574855533,40.34381189284
1947,49,-111.940508666032,40.3509655646576
1948,49,-111.956399615702,40.3516322569745
1949,49,-111.969421904989,40.348605800699
1951,49,-111.948867469959,40.3572106351823
1952,49,-111.957381966325,40.3591223969391
1953,49,-111.969027328487,40.3567388596111
1954,49,-111.920633754196,40.3383002200131
1956,49,-111.920917247279,40.3438321539396
1962,49,-111.912351145606,40.3405352186222
1963,49,-111.909588475902,40.3513053671616
1964,49,-111.913570759514,40.3584440605473
1965,49,-111.904874867388,40.3585770606943
1967,49,-111.913625295738,40.3657782956753
1966,49,-111.907555938324,40.3655462858629
1968,49,-111.911593797786,40.3710119043047
1971,49,-111.922081953684,40.3720639691211
1972,49,-111.930897581028,40.3725171013912
1973,49,-111.931129573175,40.3797899285386
1978,49,-111.937656581066,40.3773702623433
1979,49,-111.944424702566,40.3781888259821
1981,49,-111.955796768845,40.3775421716666
1980,49,-111.942149154218,40.3846250256567
1983,49,-111.911130600968,40.3759690925246
1984,49,-111.911387439421,40.3848108455218
1987,49,-111.922803671203,40.3856497427946
1982,49,-111.967111018732,40.3771423324637
1989,49,-111.956137621936,40.3869975865485
1908,49,-111.989206058844,40.385559230738
1991,49,-111.962351506044,40.3957253914791
1993,49,-111.931136947183,40.3884279162695
1996,49,-111.929498781308,40.3953785716116
1994,49,-111.921201657785,40.3893135454529
1995,49,-111.921091405024,40.3933178410636
1997,49,-111.929146837131,40.4026311765391
1998,49,-111.941971753913,40.4020673336041
1999,49,-111.929878186283,40.4096980125926
2001,49,-111.939296578226,40.4147066374845
2000,49,-111.928429368206,40.4164637429894
2002,49,-111.911288801581,40.3898963111459
2003,49,-111.912835238483,40.3957780738476
2004,49,-111.902536815402,40.3985747801024
2005,49,-111.913523388095,40.4024690342123
2006,49,-111.901430057465,40.409914708489
2007,49,-111.914556782213,40.4095554462378
2008,49,-111.920329792503,40.4169048197695
2009,49,-111.911626583331,40.4167163572218
2010,49,-111.900298354534,40.4163556546874
2012,49,-111.926669159252,40.4289763493295
1630,35,-111.93165221426,40.4530264250063
2014,49,-111.858531443606,40.3628986050262
2015,49,-111.84187122224,40.3649982035143
2016,49,-111.840576964909,40.3717969911416
2017,49,-111.853176085833,40.3692761619216
2018,49,-111.862302410893,40.3697208207179
2020,49,-111.881669625266,40.3705977928876
2024,49,-111.881604875205,40.3779605625895
2023,49,-111.871683444651,40.3777335858711
2025,49,-111.871900435451,40.3834769630543
2027,49,-111.890287574106,40.3816064975076
2028,49,-111.901689133551,40.3815120223875
2030,49,-111.853309772729,40.3778553672611
2029,49,-111.843207565797,40.3766936310699
2033,49,-111.832621147504,40.3830323232483
2035,49,-111.839010751123,40.3869646410321
2034,49,-111.839003600621,40.381999033442
2036,49,-111.846376954224,40.3844379095011
2037,49,-111.851890700876,40.3847784022046
2032,49,-111.861385714525,40.3836858873952
2038,49,-111.83903994239,40.3912356921116
2039,49,-111.846112168087,40.3914328735189
2040,49,-111.852133464687,40.3910656492582
2041,49,-111.849273513899,40.3980112010984
2042,49,-111.857870772035,40.3956058045912
2043,49,-111.861375162538,40.38911586091
2026,49,-111.881640115047,40.3835183693464
2045,49,-111.88162795716,40.3891715103183
2046,49,-111.863393936264,40.393953564381
2048,49,-111.881626534434,40.3948348926185
2049,49,-111.894440482226,40.3921123637948
2051,49,-111.872802156033,40.4015232595391
2052,49,-111.881692703408,40.4024113674637
2053,49,-111.893137945186,40.4026966628463
2055,49,-111.882166897011,40.4089951858828
2060,49,-111.83464859716,40.4021847892604
2061,49,-111.844645983036,40.4015212512267
2062,49,-111.825680296189,40.4134416147281
2063,49,-111.834898889522,40.4087922633694
2065,49,-111.845670781895,40.4082441533717
2066,49,-111.85597809396,40.4100226200356
2050,49,-111.862324214925,40.4026815931801
2067,49,-111.864120980412,40.4171719064991
2068,49,-111.854430231778,40.4170607563487
2064,49,-111.836550527923,40.4149991851542
2069,49,-111.845052226293,40.4172245500422
2070,49,-111.835814923357,40.4235243149728
2071,49,-111.844922242434,40.4243326464527
2072,49,-111.85578282183,40.4243032509927
2074,49,-111.825614830523,40.4284754461432
2075,49,-111.835437325041,40.4297841232374
2076,49,-111.845176521468,40.429949025769
2077,49,-111.855243090848,40.4300890909993
2073,49,-111.865137494388,40.4245051197948
2080,49,-111.844067640154,40.4354934258583
2079,49,-111.830775823572,40.4365363659
2081,49,-111.853327975084,40.4355692011222
2082,49,-111.860477581662,40.4357629387116
2078,49,-111.864684987727,40.4304643794899
2083,49,-111.836414875374,40.4455747051384
2084,49,-111.856227319594,40.441132199523
2086,49,-111.872553776104,40.4259963995289
2087,49,-111.877939433744,40.4237782130576
2085,49,-111.872079126931,40.4193628023401
2095,49,-111.88190942055,40.4210495077375
2088,49,-111.871536894964,40.4302500083634
2090,49,-111.884385562615,40.4283509126584
2054,49,-111.870147849126,40.4095025963693
2091,49,-111.874365624226,40.4153649601512
2092,49,-111.881367445898,40.4162926955615
2093,49,-111.887570163328,40.4189503602008
2094,49,-111.89002518996,40.4164793809138
2056,49,-111.891972229027,40.4090291902101
2096,49,-111.888437016445,40.4242089789932
2097,49,-111.893188389137,40.4234720771389
